Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Home_Elo,Away_Elo,Home_xG_Avg_L5,Away_xG_Avg_L5,Home_Streak_L5,Away_Streak_L5,Home_Pressure_Avg_L5,Away_Pressure_Avg_L5,Home_Dominance,Away_Dominance
2010-08-14,2010,Aston Villa,West Ham United,3.0,0.0,H,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2010-08-14,2010,Blackburn,Everton,1.0,0.0,H,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2010-08-14,2010,Bolton,Fulham,0.0,0.0,D,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2010-08-14,2010,Chelsea,West Brom,6.0,0.0,H,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2010-08-14,2010,Sunderland,Birmingham,2.0,2.0,D,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2010-08-14,2010,Tottenham,Manchester City,0.0,0.0,D,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2010-08-14,2010,Wigan,Blackpool,0.0,4.0,A,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2010-08-14,2010,Wolverhampton,Stoke City,2.0,1.0,H,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2010-08-15,2010,Liverpool,Arsenal,1.0,1.0,D,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2010-08-16,2010,Manchester United,Newcastle United,3.0,0.0,H,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2010-08-21,2010,Wigan,Chelsea,0.0,6.0,A,1490.0,1510.0,3.1999999999999997,6.35,0.0,3.0,1.0,2.066666666666667,1.357333333333333,2.6076666666666664
2010-08-21,2010,West Ham United,Bolton,1.0,3.0,A,1490.0,1500.0,1.9000000000000001,4.45,0.0,1.0,0.4,1.1,0.9673333333333334,1.835
2010-08-21,2010,West Brom,Sunderland,1.0,0.0,H,1490.0,1500.0,2.4,1.3,0.0,1.0,0.4375,0.38095238095238093,1.1173333333333333,0.89
2010-08-21,2010,Birmingham,Blackburn,2.0,1.0,H,1500.0,1510.0,3.75,1.4,1.0,3.0,2.2222222222222223,0.3,1.625,1.1226666666666667
2010-08-21,2010,Everton,Wolverhampton,1.0,1.0,D,1490.0,1510.0,5.8999999999999995,3.75,0.0,3.0,2.9,1.1764705882352942,2.167333333333333,1.8276666666666668
2010-08-21,2010,Arsenal,Blackpool,6.0,0.0,H,1500.0,1510.0,3.8499999999999996,3.3499999999999996,1.0,3.0,1.75,0.8888888888888888,1.6549999999999998,1.7076666666666667
2010-08-21,2010,Stoke City,Tottenham,1.0,2.0,A,1490.0,1500.0,3.0999999999999996,8.5,0.0,1.0,0.7619047619047619,2.1052631578947367,1.3273333333333333,3.05
